"Player Details","","","","","","","","","Rushing","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"57","James Cook","BUF","RB","1","2025","1","4","NO","22","117","117.0","5.32","1","0","0","0","0","95.5","77.3","54.5","13.6","4.5","","","1","50.0","3","75.0","5","83.3","4","18.2","3","18","8.6","6.00","4.50","18.0","75.0","0","0.0","0","0","0","21.0","21.0","22.5","22.5"
"58","James Cook","BUF","RB","1","2025","1","16","CLV","16","117","117.0","7.31","2","0","0","0","0","100.0","68.8","43.8","18.8","12.5","6.3","6.3","1","50.0","1","33.3","4","50.0","2","10.5","1","17","13.1","17.00","8.50","17.0","50.0","0","0.0","0","0","0","14.2","14.2","26.4","26.4"
"59","James Cook","BUF","RB","1","2025","2","2","DEN","24","117","117.0","4.88","0","1","0","0","0","83.3","54.2","41.7","20.8","4.2","4.2","","1","50.0","1","33.3","5","62.5","3","7.7","2","24","8.5","12.00","8.00","24.0","66.7","0","0.0","0","0","0","20.5","20.5","15.1","15.1"
"60","Kimani Vidal","LAC","RB","1","2025","1","8","MIN","23","117","117.0","5.09","1","0","0","0","0","69.6","65.2","47.8","13.0","8.7","4.3","","2","100.0","3","60.0","5","62.5","2","8.0","1","10","4.4","10.00","5.00","10.0","50.0","0","0.0","0","0","0","18.5","18.5","19.7","19.7"
"61","Kenneth Walker","SEA","RB","1","2025","2","2","SF","19","116","116.0","6.11","3","0","0","0","0","94.7","84.2","63.2","15.8","10.5","","","0","0.0","4","100.0","9","90.0","3","17.6","3","29","23.4","9.67","9.67","29.0","100.0","0","0.0","0","0","0","21.5","21.5","35.5","35.5"
"62","Javonte Williams","DAL","RB","1","2025","1","7","WAS","19","116","116.0","6.11","1","0","0","0","0","84.2","63.2","47.4","10.5","10.5","5.3","5.3","1","100.0","1","100.0","4","80.0","2","6.7","1","2","0.8","2.00","1.00","2.0","50.0","0","0.0","0","1","0","16.5","16.5","18.8","18.8"
"63","James Cook","BUF","RB","1","2025","1","12","HST","17","116","116.0","6.82","1","0","0","0","0","88.2","64.7","35.3","17.6","11.8","11.8","5.9","0","0.0","0","0.0","0","0.0","3","8.8","3","13","5.1","4.33","4.33","13.0","100.0","0","0.0","0","0","0","12.8","12.8","21.9","21.9"
"64","Jordan Mason","MIN","RB","1","2025","1","3","CIN","16","116","116.0","7.25","2","0","0","0","0","100.0","81.3","56.3","25.0","12.5","6.3","","2","100.0","3","75.0","4","80.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","11.3","11.3","23.6","23.6"
"65","Kyren Williams","LA","RB","1","2025","1","9","NO","25","114","114.0","4.56","1","0","0","0","0","88.0","68.0","48.0","8.0","4.0","","","2","100.0","4","80.0","6","75.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","17.4","17.4","17.4","17.4"
"66","James Cook","BUF","RB","1","2025","1","9","KC","27","114","114.0","4.22","0","0","0","0","0","88.9","59.3","29.6","11.1","7.4","","","2","40.0","3","42.9","3","42.9","1","3.8","1","11","4.0","11.00","11.00","11.0","100.0","0","0.0","0","0","0","17.3","17.3","13.5","13.5"
"67","Breece Hall","NYJ","RB","1","2025","1","5","DAL","14","113","113.0","8.07","0","1","0","0","0","85.7","64.3","57.1","42.9","35.7","14.3","","1","100.0","1","50.0","1","33.3","4","8.7","4","42","14.8","10.50","10.50","42.0","100.0","0","0.0","0","1","0","14.5","14.5","18.5","18.5"
"68","Woody Marks","HST","RB","1","2025","2","1","PIT","19","112","112.0","5.89","1","0","0","0","0","100.0","68.4","47.4","15.8","5.3","5.3","","0","0.0","0","0.0","3","100.0","1","3.1","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","13.4","13.4","17.2","17.2"
"69","Jacory Croskey-Merritt","WAS","RB","1","2025","1","5","LAC","14","111","111.0","7.93","2","1","0","0","0","78.6","71.4","71.4","35.7","21.4","7.1","","1","100.0","1","33.3","2","28.6","2","7.7","2","39","16.9","19.50","19.50","39.0","100.0","0","0.0","0","1","0","12.4","12.4","28.0","28.0"
"70","Breece Hall","NYJ","RB","1","2025","1","17","NE","14","111","111.0","7.93","1","0","0","0","0","71.4","50.0","42.9","14.3","14.3","7.1","7.1","0","0.0","0","0.0","0","0.0","2","5.9","2","18","11.6","9.00","9.00","18.0","100.0","0","0.0","0","1","0","10.6","10.6","20.9","20.9"
"71","J.K. Dobbins","DEN","RB","1","2025","1","8","DAL","15","111","111.0","7.40","0","0","0","0","0","86.7","66.7","60.0","26.7","26.7","13.3","","2","66.7","2","66.7","3","60.0","2","6.9","2","10","4.0","5.00","5.00","10.0","100.0","0","0.0","0","0","0","12.9","12.9","14.1","14.1"
"72","Quinshon Judkins","CLV","RB","1","2025","1","5","MIN","23","110","110.0","4.78","0","0","0","0","0","69.6","47.8","30.4","13.0","4.3","4.3","4.3","0","0.0","3","60.0","7","77.8","2","6.1","1","18","9.5","18.00","9.00","18.0","50.0","0","0.0","0","0","0","20.3","20.3","13.8","13.8"
"73","Zach Charbonnet","SEA","RB","1","2025","1","17","CAR","18","110","110.0","6.11","2","0","0","0","0","94.4","55.6","22.2","16.7","16.7","11.1","","5","100.0","6","85.7","6","66.7","2","7.4","2","12","8.2","6.00","6.00","12.0","100.0","0","0.0","0","0","0","16.9","16.9","26.2","26.2"
"74","D'Andre Swift","CHI","RB","1","2025","1","6","WAS","14","108","108.0","7.71","0","0","0","0","0","92.9","78.6","64.3","35.7","14.3","","","0","0.0","0","0.0","1","20.0","3","10.3","2","67","26.6","33.50","22.33","67.0","66.7","1","100.0","0","0","0","12.2","12.2","25.5","25.5"
"75","James Cook","BUF","RB","1","2025","1","3","MIA","19","108","108.0","5.68","1","0","0","0","0","84.2","68.4","36.8","21.1","10.5","5.3","","1","100.0","1","100.0","2","100.0","3","10.7","3","10","4.7","3.33","3.33","10.0","100.0","0","0.0","0","1","0","16.3","16.3","20.8","20.8"
"76","Chase Brown","CIN","RB","1","2025","1","7","PIT","11","108","108.0","9.82","0","0","0","0","0","100.0","81.8","45.5","27.3","18.2","18.2","9.1","0","0.0","1","20.0","3","37.5","4","8.5","2","-8","-2.3","-4.00","-2.00","-8.0","50.0","0","0.0","1","1","0","14.7","14.7","12.0","12.0"
