ONLY EDIT THIS COLUMN,QB Ranks,,,,
ID,SDIO,Name,Team,Rank,Comments
ID,SDIO,Name,Team,Rank,Comments
Ja'Marr Chase (22564) [CIN],22564,Ja'Marr Chase,CIN,1,
Jaxon Smith-Njigba (23157) [SEA],23157,Jaxon Smith-Njigba,SEA,2,
Puka Nacua (24172) [LAR],24172,Puka Nacua,LAR,3,
CeeDee Lamb (21679) [DAL],21679,CeeDee Lamb,DAL,4,
Amon-Ra St. Brown (22587) [DET],22587,Amon-Ra St. Brown,DET,5,
Justin Jefferson (21685) [MIN],21685,Justin Jefferson,MIN,6,
Malik Nabers (24953) [NYG],24953,Malik Nabers,NYG,7,
Drake London (23151) [ATL],23151,Drake London,ATL,8,
Nico Collins (21756) [HOU],21756,Nico Collins,HOU,9,
George Pickens (23153) [DAL],23153,George Pickens,DAL,10,
Tetairoa McMillan (26054) [CAR],26054,Tetairoa McMillan,CAR,11,
Garrett Wilson (23122) [NYJ],23122,Garrett Wilson,NYJ,12,
Rashee Rice (24120) [KC],24120,Rashee Rice,KC,13,
Chris Olave (22565) [NO],22565,Chris Olave,NO,14,
Marvin Harrison Jr. (24974) [ARI],24974,Marvin Harrison Jr.,ARI,15,
Tee Higgins (21690) [CIN],21690,Tee Higgins,CIN,16,
Jordyn Tyson (26751) [NO],26751,Jordyn Tyson,NO,17,
Carnell Tate (26752) [TEN],26752,Carnell Tate,TEN,18,
Zay Flowers (23120) [BAL],23120,Zay Flowers,BAL,19,
Christian Watson (23395) [GB],23395,Christian Watson,GB,20,
Emeka Egbuka (26092) [TB],26092,Emeka Egbuka,TB,21,
Luther Burden III (26044) [CHI],26044,Luther Burden III,CHI,22,
Ladd McConkey (25097) [LAC],25097,Ladd McConkey,LAC,23,
DeVonta Smith (21687) [PHI],21687,DeVonta Smith,PHI,24,
Jameson Williams (23234) [DET],23234,Jameson Williams,DET,25,
Alec Pierce (23232) [IND],23232,Alec Pierce,IND,26,
A.J. Brown (21042) [PHI],21042,A.J. Brown,PHI,27,
