"Player Details","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","FP/G","FP","PPR","NON-PPR"
"52","Luther Burden","CHI","WR","15","2025","60","11.9","47","652","19.0","13.87","10.87","43.5","78.3","2","9.1","0","4","0","8.5","127.9","127.9","80.9"
"53","Jauan Jennings","SF","WR","15","2025","86","17.8","55","643","17.4","11.69","7.48","42.9","64.0","9","30.0","6","17","1","11.6","174.3","174.3","119.3"
"54","George Kittle","SF","TE","11","2025","67","20.0","57","628","25.6","11.02","9.37","57.1","85.1","7","31.8","5","13","0","14.7","161.5","161.5","104.5"
"55","Christian Watson","GB","WR","10","2025","55","18.2","35","611","25.7","17.46","11.11","61.1","63.6","6","37.5","4","6","0","13.2","132.4","132.4","97.4"
"56","Jordan Addison","MIN","WR","14","2025","73","17.4","42","610","22.6","14.52","8.36","43.6","57.5","3","21.4","4","11","0","9.7","135.1","135.1","93.1"
"57","Marvin Harrison","ARZ","WR","12","2025","73","17.1","41","608","21.7","14.83","8.33","50.7","56.2","4","21.1","5","10","0","10.7","127.8","127.8","86.8"
"58","Jerry Jeudy","CLV","WR","17","2025","104","18.6","50","602","19.1","12.04","5.79","35.4","48.1","2","12.5","2","8","1","7.2","121.7","121.7","71.7"
"59","Jake Ferguson","DAL","TE","17","2025","100","16.0","82","600","12.7","7.32","6.00","35.3","82.0","8","25.8","13","24","3","11.2","190.1","190.1","108.1"
"60","Cooper Kupp","SEA","WR","16","2025","68","14.9","47","593","15.9","12.62","8.72","37.1","69.1","2","9.5","4","12","1","7.4","118.3","118.3","71.3"
"61","Dallas Goedert","PHI","TE","15","2025","80","18.4","60","591","18.7","9.85","7.39","39.4","75.0","11","44.0","9","15","0","12.3","185.1","185.1","125.1"
"62","Marquise Brown","KC","WR","16","2025","72","13.1","49","587","15.7","11.98","8.15","36.7","68.1","5","21.7","7","9","1","8.6","137.7","137.7","88.7"
"63","Terry McLaurin","WAS","WR","10","2025","58","20.4","38","582","30.1","15.32","10.03","58.2","65.5","3","33.3","3","7","0","11.4","114.2","114.2","76.2"
"64","Cade Otton","TB","TE","16","2025","80","15.3","59","572","16.4","9.69","7.15","35.8","73.8","1","4.2","2","6","0","7.6","122.2","122.2","63.2"
"65","Rashee Rice","KC","WR","8","2025","77","26.2","53","571","27.3","10.77","7.42","71.4","68.8","5","45.5","13","17","1","18.8","150.1","150.1","97.1"
"66","Dalton Kincaid","BUF","TE","12","2025","49","14.1","39","571","20.1","14.64","11.65","47.6","79.6","5","21.7","4","8","1","10.5","126.1","126.1","87.1"
"67","Josh Downs","IND","WR","16","2025","84","16.4","58","566","14.9","9.76","6.74","35.4","69.0","4","17.4","4","14","0","8.7","138.4","138.4","80.4"
"68","Chig Okonkwo","TEN","TE","17","2025","78","13.7","56","560","17.3","10.00","7.18","32.9","71.8","2","13.3","3","5","0","7.3","124.0","124.0","68.0"
"69","Kayshon Boutte","NE","WR","14","2025","45","10.9","33","551","15.2","16.70","12.24","39.4","73.3","6","26.1","1","3","0","8.9","124.1","124.1","91.1"
"70","Kendrick Bourne","SF","WR","16","2025","52","9.6","37","551","13.6","14.89","10.60","34.4","71.2","0","0.0","1","2","0","5.8","92.1","92.1","55.1"
"71","Mack Hollins","NE","WR","15","2025","65","14.3","46","550","13.9","11.96","8.46","36.7","70.8","2","8.0","3","5","1","7.6","113.4","113.4","67.4"
"72","Brenton Strange","JAX","TE","12","2025","59","15.0","46","540","18.4","11.74","9.15","45.0","78.0","3","12.5","3","10","0","9.8","118.0","118.0","72.0"
"73","Darius Slayton","NYG","WR","14","2025","61","13.9","37","538","17.8","14.54","8.82","38.4","60.7","1","5.9","4","5","1","7.1","99.8","99.8","62.8"
"74","Xavier Worthy","KC","WR","14","2025","72","14.8","42","532","15.7","12.67","7.39","38.0","58.3","1","4.8","2","6","0","7.9","109.9","109.9","67.9"
"75","Ricky Pearsall","SF","WR","9","2025","53","17.4","36","528","22.9","14.67","9.96","58.7","67.9","0","0.0","2","4","0","9.8","88.6","88.6","52.6"
"76","Theo Johnson","NYG","TE","15","2025","73","15.8","45","528","16.2","11.73","7.23","35.2","61.6","5","26.3","5","13","0","8.5","127.8","127.8","82.8"
"77","Jayden Higgins","HST","WR","17","2025","68","11.7","41","525","13.3","12.80","7.72","30.9","60.3","6","25.0","3","8","0","7.6","129.5","129.5","88.5"
"78","AJ Barner","SEA","TE","17","2025","64","13.3","52","519","12.8","9.98","8.11","30.5","81.3","6","24.0","6","13","2","8.7","147.3","147.3","95.3"
"79","Elic Ayomanor","TEN","WR","16","2025","86","16.3","41","515","17.3","12.56","5.99","32.2","47.7","4","28.6","6","8","0","7.3","116.5","116.5","75.5"
"80","Zach Ertz","WAS","TE","13","2025","71","18.6","50","504","19.0","10.08","7.10","38.8","70.4","4","23.5","5","8","1","9.7","126.4","126.4","76.4"
"81","Tucker Kraft","GB","TE","8","2025","42","16.8","32","489","23.6","15.28","11.64","61.1","76.2","6","46.2","3","11","0","14.7","117.2","117.2","85.2"
"82","Sam LaPorta","DET","TE","9","2025","49","17.8","40","489","21.8","12.23","9.98","54.3","81.6","3","14.3","3","6","0","11.9","106.9","106.9","66.9"
"83","Pat Freiermuth","PIT","TE","17","2025","53","9.6","41","486","13.4","11.85","9.17","28.6","77.4","4","15.4","4","8","0","6.7","113.6","113.6","72.6"
"84","Ryan Flournoy","DAL","WR","15","2025","54","9.8","40","475","11.2","11.88","8.80","31.7","74.1","4","13.8","5","7","0","7.6","114.0","114.0","74.0"
"85","Evan Engram","DEN","TE","16","2025","74","12.6","50","461","12.2","9.22","6.23","28.8","67.6","1","4.2","0","10","0","6.4","102.8","102.8","52.8"
"86","Adonai Mitchell","IND, NYJ","WR","16","2025","73","14.2","33","453","13.1","13.73","6.21","28.3","45.2","2","11.8","2","8","1","5.6","88.9","88.9","55.9"
"87","DeMario Douglas","NE","WR","17","2025","44","8.8","31","447","10.0","14.42","10.16","26.3","70.5","3","9.7","4","6","0","5.6","95.8","95.8","64.8"
"88","Jalen Nailor","MIN","WR","17","2025","50","10.3","29","444","13.8","15.31","8.88","26.1","58.0","4","22.2","6","11","0","5.9","100.7","100.7","71.7"
"89","Darnell Mooney","ATL","WR","15","2025","71","15.1","32","443","14.0","13.84","6.24","29.5","45.1","1","5.9","3","8","2","5.5","82.3","82.3","50.3"
"90","T.J. Hockenson","MIN","TE","15","2025","66","15.1","51","438","15.0","8.59","6.64","29.2","77.3","3","16.7","3","11","0","7.5","112.8","112.8","61.8"
"91","Tyquan Thornton","KC","WR","14","2025","36","7.1","19","438","12.1","23.05","12.17","31.3","52.8","3","13.6","1","3","0","5.8","80.8","80.8","61.8"
"92","Andrei Iosivas","CIN","WR","17","2025","58","9.1","33","435","10.2","13.18","7.50","25.6","56.9","2","5.6","4","7","0","5.3","89.9","89.9","56.9"
"93","Xavier Hutchinson","HST","WR","17","2025","56","9.6","35","428","10.8","12.23","7.64","25.2","62.5","3","12.5","4","7","0","5.8","98.0","98.0","63.0"
"94","Chimere Dike","TEN","WR","17","2025","72","12.6","48","423","13.1","8.81","5.88","24.9","66.7","4","26.7","5","14","0","6.8","116.1","116.1","68.1"
