"Player Details","","","","","","Rushing","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","SCRM","YDS","TD","1+ %","3+ %","5+ %","10+ %","15+ %","20+ %","30+ %","i5","i5 %","i10","i10 %","i20","i20 %","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","WO","WO/G","FP/G","FP"
"30","David Montgomery","DET","RB","17","2025","158","716","42.1","4.53","8","2","0","0","0","84.8","54.4","30.4","9.5","3.8","1.9","1.9","16","61.5","24","49.0","34","37.4","28","4.8","24","192","4.2","8.00","6.86","11.3","85.7","0","0.0","0","2","0","149.7","8.8","9.9","167.9"
"31","Woody Marks","HST","RB","16","2025","196","703","43.9","3.59","2","1","0","0","0","77.0","53.1","32.7","7.7","3.6","1.0","","9","37.5","15","42.9","33","44.0","36","6.6","24","208","5.5","8.67","5.78","13.0","66.7","3","13.0","3","8","0","184.2","11.5","9.1","145.1"
"32","Kimani Vidal","LAC","RB","13","2025","155","643","49.5","4.15","3","1","0","0","0","74.8","53.5","34.8","8.4","3.9","2.6","1.3","7","50.0","11","44.0","26","44.8","21","4.9","16","136","4.8","8.50","6.48","10.5","76.2","1","5.3","3","5","0","133.4","10.3","9.1","117.9"
"33","Kareem Hunt","KC","RB","17","2025","163","611","35.9","3.75","8","2","0","0","0","86.5","57.1","31.3","6.1","1.2","0.6","0.6","15","71.4","21","50.0","38","43.2","23","3.9","18","143","3.6","7.94","6.22","8.4","78.3","1","4.3","1","5","0","150.6","8.9","8.6","146.4"
"34","Rhamondre Stevenson","NE","RB","14","2025","130","603","43.1","4.64","7","2","0","0","0","77.7","57.7","33.1","11.5","6.9","5.4","1.5","11","50.0","16","36.4","26","35.1","37","9.1","32","345","9.5","10.78","9.32","24.6","86.5","2","7.7","0","5","1","144.9","10.3","13.0","181.8"
"35","Bucky Irving","TB","RB","10","2025","173","588","58.8","3.40","1","1","0","0","0","78.6","56.1","31.2","6.4","2.3","0.6","0.6","0","0.0","6","40.0","18","45.0","35","10.8","30","277","12.6","9.23","7.91","27.7","85.7","3","18.8","1","4","0","155.3","15.5","14.0","139.5"
"36","Rachaad White","TB","RB","17","2025","132","572","33.6","4.33","4","0","0","0","0","88.6","60.6","38.6","9.8","3.0","1.5","0.8","8","40.0","9","30.0","18","26.1","42","7.5","40","218","5.8","5.45","5.19","12.8","95.2","0","0.0","1","10","0","150.4","8.8","8.4","143.0"
"37","Aaron Jones","MIN","RB","12","2025","132","548","45.7","4.15","2","0","0","0","0","86.4","60.6","37.1","9.1","3.8","0.8","0.8","3","42.9","6","42.9","14","36.8","37","12.1","28","199","10.8","7.11","5.38","16.6","75.7","1","8.3","0","5","2","135.5","11.3","10.0","119.7"
"38","Omarion Hampton","LAC","RB","9","2025","124","545","60.6","4.40","4","0","0","0","0","75.8","60.5","34.7","11.3","6.5","2.4","0.8","8","80.0","15","83.3","26","70.3","34","11.4","32","192","8.9","6.00","5.65","21.3","94.1","1","7.7","1","2","1","135.1","15.0","15.1","135.7"
"39","RJ Harvey","DEN","RB","17","2025","146","540","31.8","3.70","7","1","0","0","0","78.8","50.7","29.5","5.5","2.7","2.1","2.1","9","45.0","14","40.0","28","36.8","58","9.5","47","356","9.1","7.57","6.14","20.9","81.0","5","20.0","6","11","0","190.4","11.2","12.2","207.6"
"40","Kenneth Gainwell","PIT","RB","17","2025","114","537","31.6","4.71","5","1","0","0","0","78.9","54.4","38.6","13.2","5.3","1.8","1.8","9","31.0","16","34.8","23","28.8","82","14.9","73","486","13.4","6.66","5.93","28.6","89.0","3","11.5","5","16","1","210.0","12.4","13.1","222.3"
