"Player Details","","","","","","Passing","","","","","","","","","","","","","","","Total Rushing","","","Scrambles","","","FPTS","","","",""
"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","ATT","YDS","TD","SCRM","YDS","TD","FP/DB","FP/OPP","FP/G","FP","OPP"
"58","Tanner McKee","PHI","QB","4","2025","49","43","24","55.8","274","68.5","6.37","1","1","16","73.2","3","6.1","14","5.11","8","8","0","3","12","0","0.30","0.27","3.7","14.8","54"
"59","Chris Oladokun","KC","QB","3","2025","67","55","35","63.6","235","78.3","4.27","1","0","10","79.0","8","11.9","93","2.57","5","18","0","4","18","0","0.20","0.19","4.4","13.2","68"
"60","Trey Lance","LAC","QB","4","2025","70","57","27","47.4","226","56.5","3.96","0","1","10","50.8","6","8.6","44","2.17","17","85","0","7","75","0","0.22","0.19","3.9","15.5","80"
"61","Kenny Pickett","LV","QB","6","2025","56","45","28","62.2","188","31.3","4.18","1","2","8","60.2","8","14.3","54","1.21","5","22","0","3","23","0","0.19","0.18","1.8","10.7","58"
"62","Joe Milton","DAL","QB","4","2025","27","24","15","62.5","183","45.8","7.63","1","2","9","65.1","0","","0","4.71","5","50","0","3","22","0","0.49","0.46","3.3","13.3","29"
"63","Aidan O'Connell","LV","QB","1","2025","24","22","10","45.5","102","102.0","4.64","0","0","5","59.3","1","4.2","5","4.22","1","7","0","1","7","0","0.20","0.20","4.8","4.8","24"
"64","Shane Buechele","KC","QB","1","2025","20","14","7","50.0","88","88.0","6.29","0","0","4","69.9","5","25.0","22","3.47","1","4","0","1","4","0","0.20","0.20","3.9","3.9","20"
"65","Brandon Allen","TEN","QB","1","2025","31","30","17","56.7","72","72.0","2.40","0","1","3","47.9","1","3.2","7","0.65","0","0","0","0","0","0","0.06","0.06","1.9","1.9","31"
"66","Joshua Dobbs","NE","QB","4","2025","11","10","7","70.0","65","16.3","6.50","0","0","3","87.5","0","","0","6.50","10","-5","0","1","2","0","0.19","0.11","0.5","2.1","20"
"67","Teddy Bridgewater","TB","QB","4","2025","18","15","8","53.3","62","15.5","4.13","0","0","2","63.8","2","11.1","21","2.41","3","4","0","1","6","0","0.16","0.14","0.7","2.9","20"
"68","Tyson Bagent","CHI","QB","3","2025","5","4","3","75.0","47","15.7","11.75","0","0","2","113.5","0","","0","11.75","2","7","0","1","7","0","0.52","0.43","0.9","2.6","6"
"69","Clayton Tune","GB","QB","2","2025","22","15","7","46.7","42","21.0","2.80","0","1","2","25.7","5","22.7","44","-2.35","5","23","0","2","17","0","0.14","0.12","1.5","3.0","25"
"70","Gardner Minshew","KC","QB","4","2025","14","13","6","46.2","37","9.3","2.85","0","1","2","21.0","0","","0","-0.62","6","2","0","1","8","0","0.05","0.04","0.2","0.7","19"
"71","Zach Wilson","MIA","QB","4","2025","12","11","6","54.5","32","8.0","2.91","0","0","3","60.0","0","","0","2.91","3","1","0","1","3","0","0.12","0.10","0.3","1.4","14"
"72","Nick Mullens","JAX","QB","5","2025","3","3","3","100.0","19","3.8","6.33","0","0","2","93.1","0","","0","6.33","12","-8","0","0","0","0","-0.01","0.00","0.0","0.0","15"
"73","Drew Lock","SEA","QB","5","2025","3","3","2","66.7","15","3.0","5.00","0","0","1","78.5","0","","0","5.00","6","-5","0","0","0","0","0.03","0.01","0.0","0.1","9"
"74","Anthony Richardson","IND","QB","2","2025","2","2","1","50.0","9","4.5","4.50","0","0","1","62.5","0","","0","4.50","4","-1","0","0","0","0","1.08","0.36","1.1","2.2","6"
"75","Kedon Slovis","ARZ","QB","2","2025","2","2","1","50.0","-2","-1.0","-1.00","0","0","0","56.3","0","","0","-1.00","0","0","0","0","0","0","-0.04","-0.04","0.0","-0.1","2"
"76","Kyle Allen","DET","QB","3","2025","2","2","0","","0","0.0","","0","0","0","39.6","0","","0","","3","-3","0","0","0","0","-0.15","-0.06","-0.1","-0.3","5"
"77","Brett Rypien","CIN","QB","1","2025","1","0","0","","0","0.0","","0","0","0","","1","100.0","2","-2.00","0","0","0","0","0","0","0.00","0.00","","0.0","1"

"Rank","Rank, Most to Least"
"Name","Full name of the player or team"
"Team","Team(s) played for"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"CMP %","Passing Completion Percentage"
"YDS","Passing Yards"
"YDS/G","Passing Yards Per Game"
"YPA","Passing Yards per Attempt"
"TD","Passing Touchdowns"
"INT","Interceptions"
"1D","Passing first downs"
"RATE","QB Passer Rating"
"SACK","Number of times sacked"
"SACK %","Percentage of dropbacks that result in a sack"
"SK YDS","Yards Lost due to Sacks"
"ANY/A","Adjusted Net Yards per Attempt - ((Pass Yards + 20*(Pass TDs)-45*(INTs)-Sack Yards))/(Pass Atts + Sacks)"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"TD","Rushing Touchdowns"
"SCRM","Scrambles"
"YDS","Scramble Yards"
"TD","Scramble Touchdowns"
"FP/DB","Fantasy Points per Dropback"
"FP/OPP","Total Fantasy Points divided by Dropbacks + Designed Runs"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
