"Player Details","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","Season Type","WEEK","Opponent","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","FP/G","FP","PPR","NON-PPR"
"44","DK Metcalf","SEA","WR","1","2022","2","1","SF","13","37.1","10","136","53.8","13.60","10.46","136.0","76.9","2","100.0","1","2","0","35.6","35.6","35.6","25.6"
"45","Mike Williams","LAC","WR","1","2022","1","5","CLV","13","38.2","10","134","58.8","13.40","10.31","134.0","76.9","0","0.0","0","1","0","23.4","23.4","23.4","13.4"
"46","Michael Pittman","IND","WR","1","2022","1","6","JAX","14","24.1","13","134","34.4","10.31","9.57","134.0","92.9","0","0.0","0","0","0","26.4","26.4","26.4","13.4"
"47","Deebo Samuel","SF","WR","1","2022","2","1","SEA","9","30.0","6","133","40.1","22.17","14.78","133.0","66.7","1","33.3","0","0","0","28.5","28.5","28.5","22.5"
"48","Justin Jefferson","MIN","WR","1","2022","1","16","NYG","16","33.3","12","133","44.5","11.08","8.31","133.0","75.0","1","33.3","0","2","0","31.3","31.3","31.3","19.3"
"49","Ja'Marr Chase","CIN","WR","1","2022","1","6","NO","10","27.0","7","132","44.0","18.86","13.20","132.0","70.0","2","66.7","0","2","0","32.2","32.2","32.2","25.2"
"50","Amari Cooper","CLV","WR","1","2022","1","8","CIN","7","30.4","5","131","47.1","26.20","18.71","131.0","71.4","1","100.0","1","1","0","23.1","23.1","23.1","18.1"
"51","Ja'Marr Chase","CIN","WR","1","2022","1","7","ATL","10","23.8","8","130","27.0","16.25","13.00","130.0","80.0","2","66.7","0","0","0","33.0","33.0","33.0","25.0"
"52","T.J. Hockenson","MIN","TE","1","2022","2","1","NYG","11","27.5","10","129","47.6","12.90","11.73","129.0","90.9","0","0.0","1","1","0","22.9","22.9","22.9","12.9"
"53","Ja'Marr Chase","CIN","WR","1","2022","1","1","PIT","15","28.3","10","129","38.2","12.90","8.60","129.0","66.7","1","50.0","4","6","0","28.9","28.9","28.9","18.9"
"54","Jaylen Waddle","MIA","WR","1","2022","1","6","MIN","10","21.3","6","129","30.9","21.50","12.90","129.0","60.0","0","0.0","0","0","1","17.9","17.9","17.9","11.9"
"55","Tyler Lockett","SEA","WR","1","2022","1","13","LA","11","28.2","9","128","34.9","14.22","11.64","128.0","81.8","1","33.3","0","1","0","27.8","27.8","27.8","18.8"
"56","Tee Higgins","CIN","WR","1","2022","1","16","NE","9","17.3","8","128","34.1","16.00","14.22","128.0","88.9","1","33.3","2","3","0","26.8","26.8","26.8","18.8"
"57","Cooper Kupp","LA","WR","1","2022","1","1","BUF","15","36.6","13","128","53.3","9.85","8.53","128.0","86.7","1","100.0","1","1","0","31.8","31.8","31.8","18.8"
"58","Stefon Diggs","BUF","WR","1","2022","1","10","MIN","16","37.2","12","128","38.8","10.67","8.00","128.0","75.0","0","0.0","0","2","0","24.8","24.8","24.8","12.8"
"59","Terry McLaurin","WAS","WR","1","2022","1","10","PHI","11","37.9","8","128","60.7","16.00","11.64","128.0","72.7","0","0.0","0","0","0","20.8","20.8","20.8","12.8"
"60","Demarcus Robinson","BLT","WR","1","2022","1","11","CAR","9","27.3","9","128","61.2","14.22","14.22","128.0","100.0","0","0.0","0","0","0","21.8","21.8","21.8","12.8"
"61","Cooper Kupp","LA","WR","1","2022","1","9","TB","9","33.3","8","127","77.0","15.88","14.11","127.0","88.9","1","100.0","0","1","1","26.8","26.8","26.8","18.8"
"62","DK Metcalf","SEA","WR","1","2022","1","13","LA","8","20.5","8","127","34.6","15.88","15.88","127.0","100.0","1","33.3","1","2","0","26.7","26.7","26.7","18.7"
"63","CeeDee Lamb","DAL","WR","1","2022","1","15","JAX","7","23.3","7","126","49.2","18.00","18.00","126.0","100.0","0","0.0","0","0","0","19.7","19.7","19.7","12.7"
"64","DeVonta Smith","PHI","WR","1","2022","1","15","CHI","8","21.6","5","126","40.0","25.20","15.75","126.0","62.5","0","0.0","0","1","0","17.6","17.6","17.6","12.6"
"65","Davante Adams","LV","WR","1","2022","1","10","IND","13","34.2","9","126","50.8","14.00","9.69","126.0","69.2","1","50.0","1","2","0","27.6","27.6","27.6","18.6"
"66","Cooper Kupp","LA","WR","1","2022","1","5","DAL","10","22.7","7","125","39.1","17.86","12.50","125.0","70.0","1","100.0","0","0","0","25.9","25.9","25.9","18.9"
"67","JuJu Smith-Schuster","KC","WR","1","2022","1","7","SF","7","19.4","7","124","29.3","17.71","17.71","124.0","100.0","1","33.3","0","1","0","25.4","25.4","25.4","18.4"
"68","Tee Higgins","CIN","WR","1","2022","1","4","MIA","9","28.1","7","124","40.0","17.71","13.78","124.0","77.8","1","50.0","0","0","0","25.4","25.4","25.4","18.4"
"69","Davante Adams","LV","WR","1","2022","1","5","KC","7","23.3","3","124","51.5","41.33","17.71","124.0","42.9","2","100.0","0","0","1","27.4","27.4","27.4","24.4"
"70","Chris Moore","HST","WR","1","2022","1","14","DAL","11","40.7","10","124","58.2","12.40","11.27","124.0","90.9","0","0.0","1","1","0","22.4","22.4","22.4","12.4"
"71","Mike Evans","TB","WR","1","2022","1","8","BLT","11","25.0","6","123","37.8","20.50","11.18","123.0","54.5","0","0.0","0","3","0","18.3","18.3","18.3","12.3"
"72","Justin Jefferson","MIN","WR","1","2022","1","15","IND","16","29.1","12","123","26.7","10.25","7.69","123.0","75.0","1","25.0","2","2","0","30.3","30.3","30.3","18.3"
"73","Stefon Diggs","BUF","WR","1","2022","1","1","LA","9","29.0","8","122","41.1","15.25","13.56","122.0","88.9","1","33.3","1","1","0","26.2","26.2","26.2","18.2"
"74","Courtland Sutton","DEN","WR","1","2022","1","2","HST","11","35.5","7","122","55.7","17.43","11.09","122.0","63.6","0","0.0","2","3","0","19.7","19.7","19.7","12.7"
"75","Cooper Kupp","LA","WR","1","2022","1","4","SF","18","37.5","14","122","48.0","8.71","6.78","122.0","77.8","0","0.0","1","2","0","26.2","26.2","26.2","12.2"
"76","Amon-Ra St. Brown","DET","WR","1","2022","1","12","BUF","10","27.0","9","122","50.8","13.56","12.20","122.0","90.0","1","50.0","1","1","0","27.9","27.9","27.9","18.9"
"77","Travis Kelce","KC","TE","1","2022","1","1","ARZ","9","23.1","8","121","33.6","15.13","13.44","121.0","88.9","1","20.0","1","2","0","26.1","26.1","26.1","18.1"
"78","Michael Pittman","IND","WR","1","2022","1","1","HST","13","26.0","9","121","34.4","13.44","9.31","121.0","69.2","1","100.0","1","2","0","27.1","27.1","27.1","18.1"
"79","Drake London","ATL","WR","1","2022","1","18","TB","8","26.7","6","120","53.6","20.00","15.00","120.0","75.0","0","0.0","1","2","0","18.0","18.0","18.0","12.0"
"80","CeeDee Lamb","DAL","WR","1","2022","1","16","PHI","11","31.4","10","120","34.6","12.00","10.91","120.0","90.9","2","66.7","2","2","0","34.0","34.0","34.0","24.0"
"81","Mike Williams","LAC","WR","1","2022","1","4","HST","11","28.2","7","120","35.3","17.14","10.91","120.0","63.6","0","0.0","0","2","0","19.0","19.0","19.0","12.0"
"82","George Kittle","SF","TE","1","2022","1","16","WAS","6","27.3","6","120","51.3","20.00","20.00","120.0","100.0","2","100.0","0","2","0","30.0","30.0","30.0","24.0"
"83","Chris Godwin","TB","WR","1","2022","1","17","CAR","9","20.0","9","120","27.8","13.33","13.33","120.0","100.0","0","0.0","0","0","1","22.0","22.0","22.0","13.0"
"84","A.J. Brown","PHI","WR","1","2022","1","13","TEN","10","24.4","8","119","30.4","14.88","11.90","119.0","80.0","2","66.7","0","0","0","31.9","31.9","31.9","23.9"
"85","Amon-Ra St. Brown","DET","WR","1","2022","1","10","CHI","11","42.3","10","119","50.4","11.90","10.82","119.0","90.9","0","0.0","0","1","0","22.1","22.1","22.1","12.1"
"86","Ja'Marr Chase","CIN","WR","1","2022","1","14","CLV","13","39.4","10","119","49.8","11.90","9.15","119.0","76.9","1","50.0","0","3","0","28.5","28.5","28.5","18.5"
"87","Nick Westbrook-Ikhine","TEN","WR","1","2022","1","10","DEN","7","19.4","5","119","46.7","23.80","17.00","119.0","71.4","2","100.0","1","1","0","28.9","28.9","28.9","23.9"
"88","D.J. Moore","CAR","WR","1","2022","1","17","TB","8","21.6","6","117","34.3","19.50","14.63","117.0","75.0","1","33.3","0","0","0","23.7","23.7","23.7","17.7"
"89","Christian Kirk","JAX","WR","1","2022","1","1","WAS","9","21.4","6","117","42.5","19.50","13.00","117.0","66.7","0","0.0","0","2","0","17.7","17.7","17.7","11.7"
"90","K.J. Osborn","MIN","WR","1","2022","1","18","CHI","6","18.2","5","117","34.3","23.40","19.50","117.0","83.3","0","0.0","0","0","1","16.7","16.7","16.7","11.7"
"91","Jerry Jeudy","DEN","WR","1","2022","1","16","LA","10","28.6","6","117","45.2","19.50","11.70","117.0","60.0","0","0.0","0","1","0","17.7","17.7","17.7","11.7"
"92","CeeDee Lamb","DAL","WR","1","2022","2","2","SF","13","35.1","10","117","56.8","11.70","9.00","117.0","76.9","0","0.0","0","2","0","22.3","22.3","22.3","12.3"
"93","Marquez Valdes-Scantling","KC","WR","1","2022","2","3","CIN","8","18.6","6","116","35.6","19.33","14.50","116.0","75.0","1","50.0","0","1","0","23.6","23.6","23.6","17.6"
"94","Allen Lazard","GB","WR","1","2022","1","4","NE","8","22.9","6","116","46.2","19.33","14.50","116.0","75.0","0","0.0","0","0","0","17.6","17.6","17.6","11.6"
"95","Amon-Ra St. Brown","DET","WR","1","2022","1","2","WAS","12","35.3","9","116","45.3","12.89","9.67","116.0","75.0","2","50.0","1","3","0","39.4","39.4","39.4","30.4"
"96","Mike Williams","LAC","WR","1","2022","1","14","MIA","6","11.8","6","116","31.6","19.33","19.33","116.0","100.0","1","100.0","1","1","0","23.6","23.6","23.6","17.6"
"97","Deebo Samuel","SF","WR","1","2022","1","4","LA","7","25.9","6","115","48.1","19.17","16.43","115.0","85.7","1","100.0","1","1","0","23.7","23.7","23.7","17.7"
"98","DeVonta Smith","PHI","WR","1","2022","1","17","NO","13","40.6","9","115","42.0","12.78","8.85","115.0","69.2","0","0.0","0","0","0","20.5","20.5","20.5","11.5"
"99","Garrett Wilson","NYJ","WR","1","2022","1","8","NE","7","17.1","6","115","32.4","19.17","16.43","115.0","85.7","0","0.0","0","0","0","17.5","17.5","17.5","11.5"
"100","Travis Kelce","KC","TE","1","2022","1","11","LAC","10","29.4","6","115","35.0","19.17","11.50","115.0","60.0","3","100.0","1","4","0","35.5","35.5","35.5","29.5"
"101","Justin Jefferson","MIN","WR","1","2022","1","9","WAS","10","24.4","7","115","43.9","16.43","11.50","115.0","70.0","1","50.0","2","2","0","25.5","25.5","25.5","18.5"
"102","Jaylen Waddle","MIA","WR","1","2022","1","15","BUF","7","23.3","3","114","48.7","38.00","16.29","114.0","42.9","1","50.0","0","0","0","20.4","20.4","20.4","17.4"
"103","Amon-Ra St. Brown","DET","WR","1","2022","1","13","JAX","12","29.3","11","114","33.5","10.36","9.50","114.0","91.7","2","100.0","2","4","0","34.6","34.6","34.6","23.6"
"104","Stefon Diggs","BUF","WR","1","2022","2","1","MIA","9","23.1","7","114","32.4","16.29","12.67","114.0","77.8","0","0.0","0","0","0","18.4","18.4","18.4","11.4"
"105","Jarvis Landry","NO","WR","1","2022","1","1","ATL","8","23.5","7","114","42.4","16.29","14.25","114.0","87.5","0","0.0","0","0","0","18.4","18.4","18.4","11.4"
"106","Tee Higgins","CIN","WR","1","2022","1","12","TEN","9","24.3","7","114","42.2","16.29","12.67","114.0","77.8","1","100.0","0","0","0","24.4","24.4","24.4","17.4"
"107","Donovan Peoples-Jones","CLV","WR","1","2022","1","14","CIN","13","30.2","8","114","41.3","14.25","8.77","114.0","61.5","0","0.0","1","1","0","19.4","19.4","19.4","11.4"
"108","DeVonta Smith","PHI","WR","1","2022","1","16","DAL","12","30.0","8","113","31.8","14.13","9.42","113.0","66.7","2","100.0","1","3","0","31.3","31.3","31.3","23.3"
"109","Amari Cooper","CLV","WR","1","2022","1","11","BUF","12","29.3","8","113","34.9","14.13","9.42","113.0","66.7","2","66.7","1","2","0","31.3","31.3","31.3","23.3"
"110","Travis Kelce","KC","TE","1","2022","1","16","SEA","8","28.6","6","113","50.4","18.83","14.13","113.0","75.0","0","0.0","0","0","0","17.3","17.3","17.3","11.3"
"111","Gabe Davis","BUF","WR","1","2022","2","1","MIA","9","23.1","6","113","32.1","18.83","12.56","113.0","66.7","1","33.3","0","0","0","23.3","23.3","23.3","17.3"
"112","Terry McLaurin","WAS","WR","1","2022","1","8","IND","7","22.6","6","113","40.5","18.83","16.14","113.0","85.7","0","0.0","0","0","0","16.6","16.6","16.6","10.6"
"113","JuJu Smith-Schuster","KC","WR","1","2022","1","6","BUF","5","12.5","5","113","33.4","22.60","22.60","113.0","100.0","1","50.0","0","0","0","22.3","22.3","22.3","17.3"
"114","Evan Engram","JAX","TE","1","2022","1","16","NYJ","8","25.8","7","113","49.3","16.14","14.13","113.0","87.5","0","0.0","0","0","0","18.3","18.3","18.3","11.3"
"115","Mike Williams","LAC","WR","1","2022","1","2","KC","10","20.8","8","113","33.8","14.13","11.30","113.0","80.0","1","33.3","0","1","0","25.3","25.3","25.3","17.3"
"116","Jerick McKinnon","KC","RB","1","2022","1","14","DEN","9","21.4","7","112","31.8","16.00","12.44","112.0","77.8","2","66.7","1","1","0","32.4","32.4","32.4","25.4"
"117","Jakobi Meyers","NE","WR","1","2022","1","5","DET","8","38.1","7","111","59.0","15.86","13.88","111.0","87.5","1","100.0","0","0","0","24.1","24.1","24.1","17.1"
"118","Marquez Valdes-Scantling","KC","WR","1","2022","1","7","SF","4","11.1","3","111","26.2","37.00","27.75","111.0","75.0","0","0.0","0","0","0","14.1","14.1","14.1","11.1"
"119","Treylon Burks","TEN","WR","1","2022","1","11","GB","8","27.6","7","111","32.9","15.86","13.88","111.0","87.5","0","0.0","1","1","0","18.1","18.1","18.1","11.1"
"120","Nelson Agholor","NE","WR","1","2022","1","2","PIT","6","17.1","6","110","43.7","18.33","18.33","110.0","100.0","1","100.0","0","1","0","23.0","23.0","23.0","17.0"
"121","Christian Watson","GB","WR","1","2022","1","12","PHI","6","24.0","4","110","43.5","27.50","18.33","110.0","66.7","1","33.3","0","0","0","21.0","21.0","21.0","17.0"
"122","Chris Godwin","TB","WR","1","2022","1","12","CLV","13","30.2","12","110","44.7","9.17","8.46","110.0","92.3","1","50.0","1","1","0","29.0","29.0","29.0","17.0"
"123","Gerald Everett","LAC","TE","1","2022","2","1","JAX","7","16.3","6","109","39.9","18.17","15.57","109.0","85.7","1","100.0","1","1","0","22.9","22.9","22.9","16.9"
"124","T.J. Hockenson","MIN","TE","1","2022","1","16","NYG","16","33.3","13","109","36.5","8.38","6.81","109.0","81.3","2","66.7","0","4","0","35.9","35.9","35.9","22.9"
"125","Zay Jones","JAX","WR","1","2022","1","15","DAL","8","19.0","6","109","34.3","18.17","13.63","109.0","75.0","3","75.0","2","3","0","34.9","34.9","34.9","28.9"
